RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
104818,RPC,KIAMICHI FORMA. 4,sandstone,1.5957,1.9086,2109.1206
104893,RPC,KIAMICHI REMOLD 3,sandstone,1.5171,1.9779,2090
104652,RPC,NAVAJO ARCO 2,SANDST.,2.0415,1.6476,2131.99
104752,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6062,1.9894,2184.9392
104598,RPC,FERRON 82-3 1677.5,sandstone,2.4486,1.7306,2472.2308
104601,RPC,FERRON 82-3 1677.5,sandstone,2.4387,1.7711,2458.9597
104617,RPC,FERRON 82-3 1677.5,sandstone,2.7267,1.6624,2397.1364
104700,RPC,NAVAJO ARCO 3,SANDST.,2.085,1.6971,2047.3621
104674,RPC,NAVAJO ARCO 2,SANDST.,2.0154,1.7489,2210.5288
104678,RPC,NAVAJO ARCO 2,SANDST.,2.0808,1.7134,2141.6202
104657,RPC,NAVAJO ARCO 2,SANDST.,2.1177,1.6257,2194.5844
104845,RPC,KIAMICHI FORMA. 1,sandstone,1.9608,1.7096,2080.5501
104666,RPC,NAVAJO ARCO 2,SANDST.,1.8192,1.8361,2158.1718
104649,RPC,NAVAJO ARCO 2,SANDST.,2.0928,1.5859,2191.4937
104711,RPC,NAVAJO ARCO REMOL 3,SANDST.,2.887,1.5213,2178.4004
104777,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.7124,1.9739,2007.8981
104827,RPC,KIAMICHI FORMA. 1,sandstone,1.758,1.7549,2115.6986
104683,RPC,NAVAJO ARCO 2,SANDST.,2.1078,1.7161,2187.0308
104712,RPC,NAVAJO ARCO REMOL 3,SANDST.,3.455,1.5647,2115.2519
104701,RPC,NAVAJO ARCO 3,SANDST.,2.1573,1.6783,2089.8802
104581,RPC,FERRON 82-3 1677.5,sandstone,2.6421,1.5204,2474.6607
104654,RPC,NAVAJO ARCO 2,SANDST.,2.1486,1.5827,2132.7006
104604,RPC,FERRON 82-3 1677.5,sandstone,2.6004,1.6726,2431.9529
104814,RPC,KIAMICHI FORMA. 4,sandstone,1.7346,1.7558,2060.4863
104756,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6275,1.9703,2145.8217
104828,RPC,KIAMICHI FORMA. 1,sandstone,1.9608,1.5793,2110.1461
104615,RPC,FERRON 82-3 1677.5,sandstone,2.733,1.6617,2430.3765
104817,RPC,KIAMICHI FORMA. 4,sandstone,1.5957,1.8923,2071.6029
104687,RPC,NAVAJO ARCO 3,SANDST.,1.8903,1.647,2079.6865
104608,RPC,FERRON 82-3 1677.5,sandstone,2.6061,1.6748,2397.5048
104612,RPC,FERRON 82-3 1677.5,sandstone,2.7,1.6882,2418.5366
104643,RPC,NAVAJO ARCO 2,SANDST.,2.0133,1.5671,2191.9038
104694,RPC,NAVAJO ARCO 3,SANDST.,2.0256,1.6595,2081.9428
104575,RPC,FERRON 82-3 1677.5,sandstone,2.3733,1.5286,2408.3526
104676,RPC,NAVAJO ARCO 2,SANDST.,2.0187,1.7814,2136.3294
104579,RPC,FERRON 82-3 1677.5,sandstone,2.3733,1.4892,2379.9304
104653,RPC,NAVAJO ARCO 2,SANDST.,2.0448,1.6539,2150
104664,RPC,NAVAJO ARCO 2,SANDST.,1.6458,1.9138,2132.9778
104813,RPC,KIAMICHI FORMA. 4,sandstone,1.7094,1.7622,2128.9407
104890,RPC,KIAMICHI REMOLD 3,sandstone,1.5099,1.9873,2078.2769
104753,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6275,1.9987,2192.9682
104584,RPC,FERRON 82-3 1677.5,sandstone,2.6421,1.5768,2430.2814
104685,RPC,NAVAJO ARCO 2,SANDST.,2.1114,1.741,2137.4189
104580,RPC,FERRON 82-3 1677.5,sandstone,2.5416,1.5093,2398.0405
104689,RPC,NAVAJO ARCO 3,SANDST.,2.0157,1.6587,2071.9835
104770,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.5288,1.9755,2059.4709
104600,RPC,FERRON 82-3 1677.5,sandstone,2.4198,1.7512,2443.5216
104619,RPC,FERRON 82-3 1677.5,sandstone,2.4078,1.6576,2400.8516
104644,RPC,NAVAJO ARCO 2,SANDST.,1.9533,1.5618,2130.3759
104826,RPC,KIAMICHI FORMA. 1,sandstone,1.6929,1.8003,2081.0904
104843,RPC,KIAMICHI FORMA. 1,sandstone,1.9248,1.6661,2078.0542
104621,RPC,FERRON 82-3 1677.5,sandstone,2.5494,1.6565,2350.5812
104622,RPC,FERRON 82-3 1677.5,sandstone,2.5788,1.6748,2369.1972
104634,RPC,FERRON 82-3 1677.5,sandstone,2.8266,1.6186,2439
104706,RPC,NAVAJO ARCO 3,SANDST.,2.184,1.6898,2082
104669,RPC,NAVAJO ARCO 2,SANDST.,1.8768,1.8314,2204.7144
104856,RPC,KIAMICHI REMOLD 2,sandstone,3.665,1.6145,2164.8756
104830,RPC,KIAMICHI FORMA. 1,sandstone,2.0754,1.5374,2039.4527
104692,RPC,NAVAJO ARCO 3,SANDST.,2.1408,1.6718,2119.1779
104624,RPC,FERRON 82-3 1677.5,sandstone,2.631,1.6981,2410.5673
104593,RPC,FERRON 82-3 1677.5,sandstone,2.8137,1.5679,2426.5584
104594,RPC,FERRON 82-3 1677.5,sandstone,2.8461,1.5612,2462.7498
104616,RPC,FERRON 82-3 1677.5,sandstone,2.742,1.6778,2453.5277
104585,RPC,FERRON 82-3 1677.5,sandstone,2.631,1.5268,2411.7693
104609,RPC,FERRON 82-3 1677.5,sandstone,2.6796,1.6612,2399.8942
104755,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6176,2.0356,2165.4079
104824,RPC,KIAMICHI FORMA. 4,sandstone,1.626,1.8777,2072.3599
104673,RPC,NAVAJO ARCO 2,SANDST.,1.887,1.8521,2128.8938
104591,RPC,FERRON 82-3 1677.5,sandstone,2.8398,1.548,2451.8346
104586,RPC,FERRON 82-3 1677.5,sandstone,2.7633,1.5414,2408.9367
104645,RPC,NAVAJO ARCO 2,SANDST.,1.9173,1.609,2125.9302
104690,RPC,NAVAJO ARCO 3,SANDST.,2.0523,1.6742,2113
104709,RPC,NAVAJO ARCO 3,SANDST.,2.1783,1.6868,2125
104679,RPC,NAVAJO ARCO 2,SANDST.,2.0673,1.7346,2181
104587,RPC,FERRON 82-3 1677.5,sandstone,2.7573,1.5501,2388.3992
104656,RPC,NAVAJO ARCO 2,SANDST.,2.1507,1.592,2210.6602
104646,RPC,NAVAJO ARCO 2,SANDST.,1.8489,1.6602,2210.1729
104646,RPC,NAVAJO ARCO 2,SANDST.,1.8489,1.6602,2210.1729
104592,RPC,FERRON 82-3 1677.5,sandstone,2.8203,1.5642,2386.0431
104842,RPC,KIAMICHI FORMA. 1,sandstone,1.9233,1.75,2026.9796
104658,RPC,NAVAJO ARCO 2,SANDST.,2.1069,1.6408,2209.7304
104623,RPC,FERRON 82-3 1677.5,sandstone,2.6061,1.6838,2430.0052
104590,RPC,FERRON 82-3 1677.5,sandstone,2.7696,1.5326,2473.8451
104672,RPC,NAVAJO ARCO 2,SANDST.,1.8684,1.8473,2151
104852,RPC,KIAMICHI REMOLD 2,sandstone,3.083,1.697,2127.77
104668,RPC,NAVAJO ARCO 2,SANDST.,1.86,1.8479,2207.6254
104829,RPC,KIAMICHI FORMA. 1,sandstone,2.0319,1.5467,2109.0879
104837,RPC,KIAMICHI FORMA. 1,sandstone,1.89,1.7549,2053
104855,RPC,KIAMICHI REMOLD 2,sandstone,2.954,1.6209,2134.0646
104698,RPC,NAVAJO ARCO 3,SANDST.,2.0991,1.7402,2088.5759
104680,RPC,NAVAJO ARCO 2,SANDST.,2.0742,1.7388,2184.1228
104662,RPC,NAVAJO ARCO 2,SANDST.,2.1693,1.6229,2146.3842
104574,RPC,FERRON 82-3 1677.5,sandstone,2.3154,1.4881,2445.3341
104841,RPC,KIAMICHI FORMA. 1,sandstone,1.935,1.7209,2084.6334
104583,RPC,FERRON 82-3 1677.5,sandstone,2.6421,1.5558,2440.4588
104754,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6275,1.9987,2166.2202
104667,RPC,NAVAJO ARCO 2,SANDST.,1.8489,1.8262,2206.1938
104688,RPC,NAVAJO ARCO 3,SANDST.,1.9479,1.6562,2115.1836
104648,RPC,NAVAJO ARCO 2,SANDST.,1.9611,1.5614,2175.1537
104702,RPC,NAVAJO ARCO 3,SANDST.,2.1426,1.72,2073.7493
104775,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.7415,1.8307,2015.5767
104628,RPC,FERRON 82-3 1677.5,sandstone,2.733,1.62,2351.9722
104659,RPC,NAVAJO ARCO 2,SANDST.,2.1981,1.5837,2197
104771,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.5213,2.0454,2060.5531
104632,RPC,FERRON 82-3 1677.5,sandstone,2.7852,1.5953,2430.7511
104650,RPC,NAVAJO ARCO 2,SANDST.,2.1486,1.5698,2208.8304
104631,RPC,FERRON 82-3 1677.5,sandstone,2.7207,1.6015,2385.2903
105090,RPC,Gas sand tight streak,sandstone,1.78,1.8258,2425.7601
104713,RPC,NAVAJO ARCO REMOL 3,SANDST.,3.379,1.7313,2096.1722
104614,RPC,FERRON 82-3 1677.5,sandstone,2.7267,1.6594,2457.0679
104602,RPC,FERRON 82-3 1677.5,sandstone,2.4387,1.7171,2400.6189
104891,RPC,KIAMICHI REMOLD 3,sandstone,1.5423,1.98,2099.4915
104844,RPC,KIAMICHI FORMA. 1,sandstone,1.9668,1.6623,2066.5739
104603,RPC,FERRON 82-3 1677.5,sandstone,2.5416,1.6876,2403.1474
104684,RPC,NAVAJO ARCO 2,SANDST.,2.1114,1.7258,2133.2576
104577,RPC,FERRON 82-3 1677.5,sandstone,2.4009,1.6053,2417.3564
104595,RPC,FERRON 82-3 1677.5,sandstone,2.3892,1.6979,2467.3356
104613,RPC,FERRON 82-3 1677.5,sandstone,2.6853,1.6637,2466.6559
104704,RPC,NAVAJO ARCO 3,SANDST.,2.1225,1.7866,2056.4048
104637,RPC,FERRON 82-3 1677.5,sandstone,2.8332,1.6029,2356.3583
104636,RPC,FERRON 82-3 1677.5,sandstone,2.7948,1.5956,2419.0819
104699,RPC,NAVAJO ARCO 3,SANDST.,2.094,1.7809,2094.4294
104832,RPC,KIAMICHI FORMA. 1,sandstone,1.7616,1.7491,2070.43
104848,RPC,KIAMICHI REMOLD 2,sandstone,2.182,1.5073,2076.7107
104695,RPC,NAVAJO ARCO 3,SANDST.,2.0886,1.6658,2062.6721
104661,RPC,NAVAJO ARCO 2,SANDST.,2.1921,1.5881,2174.2282
104778,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.7463,1.8303,2069.8746
104610,RPC,FERRON 82-3 1677.5,sandstone,2.6823,1.6685,2474.5157
104597,RPC,FERRON 82-3 1677.5,sandstone,2.4804,1.6796,2468.8438
104831,RPC,KIAMICHI FORMA. 1,sandstone,2.1033,1.5384,2102.4853
104576,RPC,FERRON 82-3 1677.5,sandstone,2.3916,1.5533,2378.5408
104686,RPC,NAVAJO ARCO 2,SANDST.,2.1042,1.714,2132.8998
104626,RPC,FERRON 82-3 1677.5,sandstone,2.6367,1.6154,2366.8753
104819,RPC,KIAMICHI FORMA. 4,sandstone,1.6101,1.9201,2092.0754
104642,RPC,NAVAJO ARCO 2,SANDST.,1.8939,1.5991,2149.2492
104633,RPC,FERRON 82-3 1677.5,sandstone,2.8074,1.6117,2409.5349
104651,RPC,NAVAJO ARCO 2,SANDST.,2.0616,1.6206,2142.4659
104840,RPC,KIAMICHI FORMA. 1,sandstone,1.9248,1.7096,2038.4523
104703,RPC,NAVAJO ARCO 3,SANDST.,2.1426,1.7459,2096
104703,RPC,NAVAJO ARCO 3,SANDST.,2.1426,1.7459,2096
