RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
100976,RPC,Marcellus Black Shale,shale,2.8298,1.8312,2539.5938
100434,RPC,Caney Shale,shale,1.1448,1.4606,2337.6129
101015,RPC,Gray Shale,shale,2.5844,1.6302,2758.1949
100054,RPC,Shale,shale,1.3477,2.2855,2419.8382
101002,RPC,Brown Gas Shale,shale,2.6295,1.6774,2609.1219
101106,RPC,Oficina Dolomitized Shale,shale,3.021,1.712,2774.9867
100079,RPC,Hard shale,shale,2.6385,1.5817,2549.8436
101017,RPC,Gray Shale,shale,2.7504,1.6185,2680.8629
100968,RPC,Marcellus Black Shale,shale,2.5169,1.6786,2486.4911
100363,RPC,Bakken Formation,shale,2,1.73,2304.4744
100415,RPC,Tight gas shale,shale,2.453,1.5817,2502.6887
100216,RPC,Greenhorn Shale (5kft @ 1bar),shale,1.49,2.0456,2378.5432
100413,RPC,Tight gas shale,shale,2.349,1.4951,2495.2908
101114,RPC,Oficina Dolomitized Shale,shale,3.058,1.7279,2823.2877
100038,RPC,Shale,shale,1.6986,1.9896,2460.0751
100426,RPC,Tight gas shale,shale,2.175,1.6,2490
100966,RPC,Marcellus Black Shale,shale,2.4118,1.6407,2546.7544
100072,RPC,Hard shale,shale,2.5089,1.5046,2667.1024
100126,RPC,Shale,shale,1.49,2.2664,2413.1634
101020,RPC,Gray Shale,shale,2.8814,1.6492,2661.8037
101107,RPC,Oficina Dolomitized Shale,shale,3.021,1.715,2803.5911
100074,RPC,Hard shale,shale,2.5354,1.5266,2602.0797
100432,RPC,Barnett Shale,shale,2.2352,1.3376,2551.2509
100981,RPC,Olentangy Shale,shale,2.4357,1.5316,2634
100049,RPC,Shale,shale,1.4206,1.724,2269.4224
100066,RPC,Hard shale,shale,2.4267,1.6081,2642.6244
100066,RPC,Hard shale,shale,2.4267,1.6081,2642.6244
101043,RPC,Shale 2 (Density is assumed constant),shale,1.5778,1.838,2637.5508
100994,RPC,Brown Gas Shale,shale,2.2793,1.568,2526.1055
101008,RPC,Brown Gas Shale,shale,2.9843,1.7206,2564
100055,RPC,Shale,shale,1.4629,2.1976,2420.2559
101009,RPC,Gray Shale,shale,2.207,1.3899,2664.8891
101009,RPC,Gray Shale,shale,2.207,1.3899,2664.8891
100107,RPC,Mesaverde mudshale,shale,2.471,1.7386,2692.0376
100974,RPC,Marcellus Black Shale,shale,2.7729,1.7952,2503.9938
100056,RPC,Shale,shale,1.5234,2.1581,2402.0816
100736,RPC,Beijing Jurassic Shale,shale,2.1887,2.3669,2530.8443
101063,RPC,Mancos Shale (Decane Saturated),shale,2.1176,1.6253,2607.5487
100735,RPC,Beijing Jurassic Shale,shale,2.1343,2.4174,2501.6024
100435,RPC,Caney Shale,shale,1.1234,1.5086,2272.4376
101018,RPC,Gray Shale,shale,2.8167,1.6153,2736.8845
100047,RPC,Shale,shale,1.3759,1.7135,2365.2379
100051,RPC,Shale,shale,1.4705,1.6761,2382
100128,RPC,Green River shale,shale,2.432,1.7134,2337.9858
100998,RPC,Brown Gas Shale,shale,2.4367,1.5853,2564.3954
101105,RPC,Oficina Sandy Shale,shale,2.136,1.6166,2392
100062,RPC,Shale,shale,1.4344,2.0944,2445.0681
101113,RPC,Oficina Dolomitized Shale,shale,3.054,1.7246,2781.6913
100424,RPC,Tight gas shale,shale,2.329,1.5182,2421.7737
100992,RPC,Olentangy Shale,shale,2.8455,1.7896,2667.2169
100044,RPC,Shale,shale,1.6677,1.9936,2570.0527
100975,RPC,Marcellus Black Shale,shale,2.7873,1.8215,2521.5015
100145,RPC,Limestone-shale,limestone,1.819,1.8175,2442.3054
100146,RPC,LS-anisotropic shale,limestone,1.819,1.8175,2462.3277
101422,RPC,DSDP S.210 616 M,limestone,0.4413,4.6588,2112.0846
101423,RPC,DSDP S.210 616 M,limestone,0.4413,4.7078,2121.2965
101486,RPC,DSDP S.288 270 M,limestone,0.732,2.7647,1830.9624
101487,RPC,DSDP S.288 270 M,limestone,0.7428,2.7968,1866.1857
101488,RPC,DSDP S.288 271.0M,limestone,0.6998,2.8453,1782.7296
101489,RPC,DSDP S.288 271.0M,limestone,0.6352,3.186,1745
101490,RPC,DSDP S.288 271.5M,limestone,0.7211,2.7015,1830.8297
101491,RPC,DSDP S.288 271.5M,limestone,0.6782,2.9361,1764.2368
101492,RPC,DSDP S.288 307.0M,limestone,0.7536,2.6996,1913.9079
101493,RPC,DSDP S.288 307.0M,limestone,0.7966,2.6619,1908.0126
